product_id,product_name,category,returns_percent,risk_level,news_summary,user_id,user_age,user_risk_appetite,investment_goal,age_group
FUND00001,HDFC Growth Fund,Balanced,14.48,Moderate,Strong corporate earnings boost investor sentiment,USER0543,52,High,long-term growth,46-60
FUND00002,ICICI Balanced Fund,Debt,11.31,High,High-risk funds show unexpected performance,USER1690,29,Moderate,tax saving,26-35
FUND00003,HDFC Tax Saver Fund,Equity,15.24,High,Oil prices stabilize amid geopolitical tensions,USER0817,56,High,retirement,46-60
FUND00004,Axis Growth Fund,Equity,19.62,Low,Index funds outperform actively managed peers,USER1991,23,Low,tax saving,18-25
FUND00005,ICICI Balanced Fund,Sectoral,10.83,High,Index funds outperform actively managed peers,USER1539,32,Moderate,long-term growth,26-35
FUND00006,HDFC Tax Saver Fund,Debt,10.83,High,Mutual funds see record inflows this quarter,USER0411,62,Low,child education,
FUND00007,Kotak Index Fund,Debt,19.9,Moderate,Investors shift focus to emerging markets,USER1226,56,High,retirement,46-60
FUND00008,Kotak Value Fund,Equity,15.84,Low,Oil prices stabilize amid geopolitical tensions,USER0277,40,Low,long-term growth,36-45
FUND00009,Axis Value Fund,Hybrid,9.65,Low,High-risk funds show unexpected performance,USER0529,40,Low,tax saving,36-45
FUND00010,ICICI Value Fund,Equity,14.71,Low,High-risk funds show unexpected performance,USER0501,44,Low,tax saving,36-45
FUND00011,Axis Growth Fund,Hybrid,9.68,Moderate,Strong corporate earnings boost investor sentiment,USER1016,39,Moderate,child education,36-45
FUND00012,Kotak Value Fund,Equity,9.67,High,Index funds outperform actively managed peers,USER1789,50,Moderate,long-term growth,46-60
FUND00013,Axis Tax Saver Fund,Equity,13.21,Moderate,High-risk funds show unexpected performance,USER1481,24,Low,retirement,18-25
FUND00014,HDFC Tax Saver Fund,Hybrid,2.43,High,High-risk funds show unexpected performance,USER0198,22,Low,retirement,18-25
FUND00015,Kotak Value Fund,Sectoral,3.38,Low,Markets rally as tech stocks gain momentum,USER0467,52,Moderate,long-term growth,46-60
FUND00016,HDFC Growth Fund,Balanced,9.19,Low,Markets rally as tech stocks gain momentum,USER1764,22,Moderate,short-term gain,18-25
FUND00017,SBI Growth Fund,Debt,6.94,Low,High-risk funds show unexpected performance,USER0380,37,Low,retirement,36-45
FUND00018,Axis Value Fund,Index,13.57,High,Index funds outperform actively managed peers,USER1502,36,High,child education,36-45
FUND00019,SBI Balanced Fund,Hybrid,7.46,Moderate,Index funds outperform actively managed peers,USER1411,61,Low,retirement,
FUND00020,ICICI Value Fund,Balanced,4.94,High,Federal Reserve hints at interest rate cuts,USER0677,26,High,retirement,26-35
FUND00021,HDFC Tax Saver Fund,Balanced,19.33,Low,Investors shift focus to emerging markets,USER0702,64,Moderate,short-term gain,
FUND00022,Kotak Balanced Fund,Debt,10.87,Moderate,Mutual funds see record inflows this quarter,USER0323,49,High,retirement,46-60
FUND00023,Axis Value Fund,Balanced,12.34,High,Oil prices stabilize amid geopolitical tensions,USER0586,61,High,retirement,
FUND00024,Kotak Balanced Fund,Balanced,4.88,Moderate,Investors shift focus to emerging markets,USER1687,22,High,tax saving,18-25
FUND00025,HDFC Balanced Fund,Equity,9.28,Moderate,Mutual funds see record inflows this quarter,USER0921,28,High,tax saving,26-35
FUND00026,Axis Value Fund,Equity,12.55,Low,Federal Reserve hints at interest rate cuts,USER1940,34,High,tax saving,26-35
FUND00027,Kotak Value Fund,Debt,6.25,High,Investors shift focus to emerging markets,USER1696,26,High,tax saving,26-35
FUND00028,Axis Index Fund,Balanced,13.88,Moderate,Federal Reserve hints at interest rate cuts,USER0588,58,Moderate,long-term growth,46-60
FUND00029,ICICI Value Fund,Debt,9.0,Low,Index funds outperform actively managed peers,USER1724,64,High,child education,
FUND00030,Kotak Tax Saver Fund,Hybrid,10.54,High,Markets rally as tech stocks gain momentum,USER0056,28,Moderate,long-term growth,26-35
